ID,日付,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス数字,1等口数,2等口数,3等口数,4等口数,5等口数,1等金額,2等金額,3等金額,4等金額,5等金額,キャリーオーバー,セット球
267,2005/12/1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,I
268,2005/12/8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,D
269,2005/12/15,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,E
270,2005/12/22,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,B
271,2005/12/29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,G
272,2006/1/5,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,H
273,2006/1/12,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,A
274,2006/1/19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,C
275,2006/1/26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,F
276,2006/2/2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,J
277,2006/2/9,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,I
278,2006/2/16,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,B
279,2006/2/23,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,E
280,2006/3/2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,D
281,2006/3/9,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,G
282,2006/3/16,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,A
283,2006/3/23,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,C
284,2006/3/30,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,G
285,2006/4/6,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,H
286,2006/4/13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,E
287,2006/4/20,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,A
288,2006/4/27,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,I
289,2006/5/4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,C
290,2006/5/11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,J
291,2006/5/18,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,F
